Text,Review-Activity,Season
"Oldie but goody: A movie version of Ray Bradbury novel of a restristed society that banned books ""for our own good"". People are given drugs to make them feel good all the time (like Prozac and other drugs now).It's an excellent movie and considering where we seem to be heading, a timely movie to watch.BTW, I found it interesting that a TV called a ""Wallscreen"" looks identical to today's HDTVs!",REVIEW,NOT APPLICABLE
"Not what I expected: From reading others reviews I thought this would be a perfect gift for our parents. When I read it I thought the poem through out was kind of goofy. I thought it would be a book ABOUT grandparents that would be cute to read to the grandkids. It was more for grandparents and I didn't think it would keep my kids entertained & I couldn't see our parents sitting down to read and re-read this book. I'm sure it's perfect for some, but it wasn't what I had expected...the book was returned.",REVIEW,NOT APPLICABLE
"Not the Show: I was very disappointed in this cd. It was not the same as the show I had gone to see with my daughter on January 2006. I purchased 2 cd's, one for each of us...big mistake!",REVIEW,NOT APPLICABLE
hunting  fishing  view fall colors,ACTIVITY,FALL
Snowmobile  Snowboarding  Ice fishing,ACTIVITY,WINTER
"broke my heart: i recieved the dvds and got all of it and was very nice and no problem but one. i am deaf and have no way of knowing what is said as it not close caption or have subtitiles so i am unable to enjoy it. it broke my heart because i so wanted it and when it was on t.v i work nights then and did not have a way to recored it.oh... it sadden me that they will not do dvds with close captions or subtitles.nor do they show if it is close caption or subtitles, so i spend when not knowing if it is or not. sorry to be a pain but that is sad",REVIEW,NOT APPLICABLE
"An homage to a great poet, and my mother, Corabelle Hardy Rodgers, who recited his poetry for me.: From the time that I was a little girl, I have been exposed to the beautiful work of this gifted poet, and I was pleased to find a full and complete copy of his work, not just the poetry that was written in the dialect of the African living in America, but also his sonnets -- which are every bit as beautiful and important as those of William Shakespeare. I rated the book on the basis of its content, which is complete. The presentation does not do justice to the work inside, thus a four-star rating. Were the book beautifully bound, and the paper of better quality -- then it would have been five stars for me. But buy the book, anyway. The content is exquisite a",REVIEW,NOT APPLICABLE
"I love to go to the beach, shopping and traveling",ACTIVITY,SUMMER
"Watching movies, eating, cooking",ACTIVITY,WINTER
"Pumpkin patch, football, family time",ACTIVITY,FALL
"Hiking, exercising, indoor tennis",ACTIVITY,WINTER
"Snowboarding, mudding, building a snowman",ACTIVITY,WINTER
"Crazy: This dude is one crazy [fellow], I tell you. An excellentlyricist with questionable content, Em delievers on this albutm.Great skits (something rarely seen these days), engaging lyrics and a real chill factor - u feel marshall and his twisted mind. Although I really believe that half of what he says is just for the controversy (and controversy sells), eminem is a tight mc who can do things on many different styles. The CD lacked a bit of variety in content and the beats could have been better in some songs (but they kicked ass in other tracks like Stan) but the fact that eminem has such an amazing ability to put lyrics together (and in a way a bit different from other rappers), he definently deserves five stars. Everybody has got to check the track",REVIEW,NOT APPLICABLE
"I must be strange cause I kinda liked it!: Warning: Some spoilers here.....I don't read many books. No time. Can never seem to get interested etc. etc. Nor do I get excited about paying for a hard cover book. But, I did buy this one and read the whole thing. Glad I did. I was thoroughly entertained. Loved the Florence section. Made me go to the Italian tour books on my shelf and pull out a map to help visualize all of the beautiful detail. I couldn't wait to see what happened after Carlo fed the pigs the first time. The instant that Hannibal and Clarice finally meet face to face with Lecter's line ""Good evening Clarice"", I could just hear the roars in the movie theater. I did find the last few chapters a little confusing. I thought that Lecter was keeping",REVIEW,NOT APPLICABLE
"Three of my favorite Fall activities are going to pumpkin patches, jumping in piles of leaves, and baking pies.",ACTIVITY,FALL
"Drinking beer, going on hikes and watching football",ACTIVITY,FALL
Thanksgiving   Christmas   Halloween,ACTIVITY,FALL
Reading  Internet Surfing   watching TV,ACTIVITY,WINTER
"Swimming in my pool, outdoor brunches, and making margaritas.",ACTIVITY,SUMMER
"Great gift for a sister that loved the book!!!: My sister was very thrilled to get this surprise. She had mentioned that she loved the book and what a nice unexpected arrival of this gift.And of course, Amazon makes it easy to order from - no surprises...",REVIEW,NOT APPLICABLE
"Watching football, watching movies by the fireplace, decorating the Christmas tree",ACTIVITY,WINTER
"A great read!: I absolutely loved the action, characters, and story line of this book. I want MORE BOOKS LIKE THIS! The characters really come alive, and the interaction between the hero and heroine is very real to me. I can FEEL the love between them. Definitely one for my permanent library so I can reread it often.",REVIEW,NOT APPLICABLE
"Snuggling under a blanket, making hot cocoa, and watching movies",ACTIVITY,WINTER
"Swimming, barbecuing and gardening.",ACTIVITY,SUMMER
"Soccer, football, hiking",ACTIVITY,FALL
"Sleep, movies, parties",ACTIVITY,FALL
"Very small: Though my granddaughter loved it for her dolls, I thought it was too small and cheaply made for what I paid.",REVIEW,NOT APPLICABLE
"Loved it!: What a talented singer and songwriter! We haven't heard from Dan in a while and listening to these CD's was like slipping on a favorite pair of bluejeans. They just make you feel good! (I just went to look at my review-it should read 5 stars, not 2! Can't seem to fix this...)",REVIEW,NOT APPLICABLE
FRIENDS SEASON 10 COMING OUT TODAY!!!!!!!!!!!!!!!!!!!!!!: FRIENDS THE COMPLETE TENTH SEASON IS COMING OUT TODAY I CANT WAIT.!!!!!!!!!!!!!!,REVIEW,NOT APPLICABLE
It works!: A very useful book to gain control of my home. So many helpful ideas to manage and keep my home in order.,REVIEW,NOT APPLICABLE
Christmas; Swimming and Golf because I live in Florida,ACTIVITY,WINTER
Sex  Snowmobiling  Hiking,ACTIVITY,WINTER
"My three favorite are skiing, baking, and watching movies",ACTIVITY,WINTER
Drinking beer  Going to pumpkin patch  Running,ACTIVITY,FALL
"sweetness: In this game, there is no such thing as saying ""slow down"". It is really fast and if you are a wreckless driver you can go even faster. It also has great graphics and sound. The crashes are really realistic and it gives you an insurance cost for each crash. But there isn't very many cars to choose from and not very many courses. But besides that it is the coolest game in the world and you have to buy it.",REVIEW,NOT APPLICABLE
college football,ACTIVITY,FALL
Sweet Short Story: I really liked Cord. I liked Susan but at times she could be too emotional or to old fashion. Overall a lovely story to read.,REVIEW,NOT APPLICABLE
"Rip off!: I am very disappointed with this product. I wanted a small, handy hot pot to heat water for coffee/tea/soup at home or traveling. I used it almost everyday, once or twice a day. After one month of usage, it stopped heating. I guess you get what you pay for. There is a definite need for an appliance like this and I thought this was it. It sure was NOT. Don't waste your money.",REVIEW,NOT APPLICABLE
Watching movies infront of a fire,ACTIVITY,WINTER
"pointless drivel of a story: Seriously... what the heck was the big tension in this dumb movie? A father wanting to reconnect with this kid after the world changes for the worse? ... and his colleagues are willing to risk their lives - and yes, die- so he can get to his son. So then what happens when dad shows up? Does daddy make it better? no... just a pointless and stupid plot. Did someone actually get paid to write this script? Review: Garbage; not worth your time.",REVIEW,NOT APPLICABLE
Skating  Rake leaves   Bowling,ACTIVITY,FALL
"Best one yet!: This is Justin's best CD. His sound is blended well with Timbaland and other artists. Good funky, r & b, and hip hop sounds.",REVIEW,NOT APPLICABLE
"ONLY get this is you are a Yanks fan, which I am not. . .: This was a sad World Series. It pretty much let us know that the Yankees were permanantly out of their 80's Losing Basement, and back to world champions. . .unfortunately.Except Yanks fans, most people feel the way I do about the Yankees - they're bad for baseball and watching them win gets realllly old after a while. So only buy this if you are a Yankees fan, and I'm sure you'll enjoy it. I'm not so sure about anyone else, though. . .",REVIEW,NOT APPLICABLE
Inappropriate question,ACTIVITY,SUMMER
"Time machine review for Mr.Moshe- by michael munoz: H.G. wells book the time machine is a very interesting book that always keeps you guessing about what will happen next. The whole story is really just about the Time Traveller a very intellgent man that constructed a time machine. With his time machine he goes all the way to the year 803,701 and in the begining he meets the Eloi evolutinized people who are care free and live in a perfect society , well that how it seems at first. He also makes a friend , Weena that first presents the fact that the eloi have also fear that is the darkness. Then the Time Traveller learns about the Morlocks melicious creatures that live in the underworld and that have taken the Time Travellers time Machine. The rest of the b",REVIEW,NOT APPLICABLE
Football. Watching Hocus Pocus.  Halloween,ACTIVITY,FALL
"Raking leaves, sitting by a fire, spending time indoors.",ACTIVITY,FALL
"Did someone forget to proofread?: I got this book last week and I've only worked through the second chapter but I've already found 4 mistakes. Grammatical mistakes I can handle but what I've come across are technical mistakes, units - poorly photocopied diagrams, mislabeled examples, that I cannot handle. If you're the publisher or one of the contributors reading this review you should be ashamed of yourself. Save your money, stick to Michael R. Lindeburg.",REVIEW,NOT APPLICABLE
Another Death in the Industrial Era. R.I.P. S.P.: This was a real shocker when i got the cd about three weeks ago thank to a online buddy. But I really tried to give the album a chance only daddyuwarbash whatever song that was decent but the rest sorry. They had almost 10 years to write stuff and it comes down to this. A Shame. But with this album I say this should be the final straw and hang up the synths and Vocador and call it the final nail in the coffin. The songs were too over here and over there it was not like the dark elements and the dark vocals and harsh lyrics just a sold out industrial band. Thank You SYNTHSPOP for making this all possible. I will stick to my New Wave Bands and CDS. Industrial is dead!,REVIEW,NOT APPLICABLE
"tennis, kayaking and going to the lake",ACTIVITY,SUMMER
"Not Good: Bought this phone a year ago, worked fine for a year and then started trouble. Gets disconnected while talking, cant hear what the other person says.",REVIEW,NOT APPLICABLE
Eating coffee.,ACTIVITY,FALL
TOO SLOW A START!!!!!!: I have read many of G.A.Henty's books and enjoyed most of them immensely. This one was lame from the start and I dropped it after about 40 pages.,REVIEW,NOT APPLICABLE
False Advertising: Just purchased GPX's PDL 805 to play Region 1 and 2 DVDs. The product description specifies it will play both NTSC and PAL. It DOES NOT. I tried to get technical support from the seller (no luck) AND from the maker - GPX.com. GPX's technical support told me it will play European DVDs only when ... hooked up to a PAL TV! Needless to say I didn't get a portable DVD player to keep it connected to a TV. What a bunch of nonsense. Don't buy it if you want to play PAL DVDs.,REVIEW,NOT APPLICABLE
"A Pleasure: Got the book and a cheap pressure cooker with safety devices and have and great success and pleasure using the obviously tested recipes in this book. Instructions are clear, information excellent and results have been mouth watering. And I only started pressure cooking a month ago, I'm hooked.",REVIEW,NOT APPLICABLE
"Reading, basketball and sleep",ACTIVITY,WINTER
"Walking, shopping, eating",ACTIVITY,FALL
"Laugh out loud funny!: This book is a must read! After 2 years of being a ""personal assistant"" to a high-profile executive in NYC, I can personally relate to many of the over-the-top and absurd demands that are brillianly and colorfully detailed in this amusing novel! For all those that don't believe this mythical and rediculous world really doesn't exist...well, it does! Thank you to Lauren Weisenberger for letting me point all my relatives and friends to this delightful book to say, ""see...everything I told you about being a 'personal assistant' was true!"" Well done!!!",REVIEW,NOT APPLICABLE
"some good, some bad: This book has some very good advice about knowing when to speak up and knowing when to be silent when your daughter is expressing herself. It is also frought with some very bad advice about allowing ""experimentation"" in your daughters life.I was confused about how one section deals with teaching girls that their self worth is not tied up in their bodies, then giving dads the advice to allow a daughter to wear provocative clothing. I quote, ""wearing sexy clothing is a normal adolescent behavior"". Some daughters might be all the better for allowing boys to ogle them, but mine better keep the receipt.I say no thank you to most of the advice given in this book. Dad isn't meant to be a passive listener and enabler. Sometimes, Dad is suppose",REVIEW,NOT APPLICABLE
Sleding snow and christmas,ACTIVITY,WINTER
"Watching the leaves change, pumpkin carving, holidays",ACTIVITY,FALL
customer service: Thermos is fine. Customer service lacking. Received wrong size. Ordered17 oz was sent 35 oz. E-mailed about problem - no response. Still waiting.........,REVIEW,NOT APPLICABLE
"DO NOT BUY THIS ITEM!: I read the other negative reviews, and didn't believe them due to the positive reviews this product had received. What a mistake!I've had a Linksys WRT54G router and a Linksys WPC54G PCMCIA card for over a year now, and I'm very happy with both of them. Only problem is that I don't get a great signal in my basement. I thought that this antenna would help, but I couldn't have been more wrong. See this Network Stumbler graph (http://suspended.net/images/higain.png). My signal actually decreased when using the ""High Gain"" antennas compared to the factory antennas.I'm going to return this item and stick with the stock antennas and maybe build a reflector like this one: http://www.freeantennas.com/prod01.htm",REVIEW,NOT APPLICABLE
"Football, fair, beach",ACTIVITY,FALL
"Stolen Material and Rip-off: Stay away from this DVD! Do not support a company that blantantly steals work from fan sites: WORD FOR WORD. No permission granted, just stole blog posts and pictures to promote their video.SHAME ON YOU.",REVIEW,NOT APPLICABLE
Staying in.  Snuggling up.   Keeping warm.,ACTIVITY,WINTER
"Skiing, snowboardkng, and ice skating",ACTIVITY,WINTER
"biking, going out of ice cream, and my birthday",ACTIVITY,SUMMER
Great Lens: This is the second lens I have purchased for my camera. It takes great looking photos. I like to shoot in Aperture priority and this lens' wide aperture makes my portraits really stand out.,REVIEW,NOT APPLICABLE
1. Vacations out of the Arizona heat.  2. Movies in air conditioned theatres   3. Boating on Sahuaro Lake,ACTIVITY,SUMMER
going to the beach  bbq  swimming,ACTIVITY,SUMMER
"Does not work.: I followed the directions and it simply didn't work. It states: To activate it turn the battery in the proper position and slide it across a semi rough surface and it will beep. It does beep, however when I put it on my dog, which has short/little hair on his neck, with a proper tightness, it does not initiate a shock at all. He has a very loud bark and I am severely disappointed in this product. Buyers beware, don't waste your money.",REVIEW,NOT APPLICABLE
Beach,ACTIVITY,SUMMER
"Fabulous!: The Nupro supplement has made a huge difference with my dogs. They maintain their weight, even my 90lb dog just gets 1 cup of dry food 2x/day. I originally tried the supplement when my big dog started having a sore back and hips. He has rarely has pain now and I would know since he's a big baby!",REVIEW,NOT APPLICABLE
"Changing leve, halloween, apples",ACTIVITY,FALL
"TV, cooking and reading.",ACTIVITY,FALL
"Get a grip: The brush is stiff, I guess you get used to it. It has a long handle, compared to a hair bush? The handle is smooth and you cannot grip it when you are in the shower. It is anything but ergonomic. I guess you take a dry bath. Do not buy this brush unless you are needing to bristle off some very caked on dry skin or rust and can use a grinder to make the handle gripable. What a waste of good money.",REVIEW,NOT APPLICABLE
"Cooking outside, swimming, sun tanning",ACTIVITY,SUMMER
apple picking  country drive fall beauty,ACTIVITY,FALL
Motorcycle riding in mountains  Working outside and not sweating  The holidays,ACTIVITY,FALL
Eating pumpkin pie  Looking at leaves  Walking outside,ACTIVITY,FALL
Maintaining a level of comfort from the cold.    Having the proper clothes for the conditions.    Observing snow from a distance,ACTIVITY,WINTER
drinking cocoa  snowball fights  Christmas,ACTIVITY,WINTER
"The Red Badge of Courage: I purchased this edition of THE RED BADGE OF COURAGE for my junior English III class. This is an excellent edition of the novel...it is clearly printed, the writing is large enough to be seen well, and the ""feel"" of the book suits teenagers. They have told me repeatedly that they like the ""style"" of this book.",REVIEW,NOT APPLICABLE
"Eating ice cream, taking walks, watching movies",ACTIVITY,SUMMER
"Good features, poor reliability: I'm a technical editor and spend many hours at my computer. So, the keyboard is important. I really like the feel, arrangement, and features of this keyboard. So much so that I just installed my third 4000.And, therein lies the problem. My first 4000 had to be replaced after about 6 months because the ""X"" key stopped working. The second started sending random keystrokes to the computer after about a month. (It is interesting to watch your e-mail client decided it needs to create an infinite number of new messages.) I just installed my third 4000. If it doesn't prove more reliable, I'll look elsewhere for ergonomic keyboards.I give this keyboard five stars for features and comfort and one star for reliability.",REVIEW,NOT APPLICABLE
"Boring and repetitive, 'supported' by pseudo-scientist irrelevant research on animals which I found distressing.: I am currently training to be an Infant Massage instructor and this is a recommended book.However, considering the title '..Human Significance of the Skin..', the author has relied to an excessive extent on animal research to support his views, which greatly undermines the book. The first 67 pages consist of deprivation and isolation-type experiments on animals and their offspring. Following that, there are constant references to this type of research, which I do not consider to be valid in the human context. He also makes other assertions which seem rather outdated.My work will be with humans. The people reading this book are, I presume, inter",REVIEW,NOT APPLICABLE
"Snowmobiling, sledding, making a snowman",ACTIVITY,WINTER
"I like The Exploited, but hate this release: I guess that's odd, but it's true. I like The Exploited, but the Singles CD, I don't like at all. It may contain their singles but these are not their best songs. Not even close to their best music at all. Avoid this and get Punks Not Dead, On Stage, or Lets Start A War instead.",REVIEW,NOT APPLICABLE
"Ski, pool, football",ACTIVITY,WINTER
"Decent album, but not as good as his early stuff.: I have always liked Joe Walsh with the James Gang and the few solo albums after the JG. This album is good, but I prefer to listen to the earlier music. In all honesty though, I do like Joe's music in general and own all but ""Songs For A Dying Planet"", which I will be purchasing next. Anybody who could influence a song by one of my all time favorite song writers, Pete Townshend, has got to be good. As a matter of fact, two of the first four albums I ever bought, in 1973, were ""James Gang Rides Again"" & ""Who's Next"". These albums are still played at least once a year by this aging hippy.",REVIEW,NOT APPLICABLE
"Going for walks, swimming, and outdoor sports events",ACTIVITY,SUMMER
"staying inside, sleeping, hibernating",ACTIVITY,WINTER
Eating chili  Playing in the snow   Super Bowl,ACTIVITY,WINTER
"A Portrait of a City: Having been one of the annoying tourists that swarm through St. Mark's and the Rialto, it was fascinating to gain an insider's perspective on a city that, at first, I had not found all that attractive. I thoroughly enjoyed the snapshots of the local color in Venice, particularly the Plant Man, whom I believe proves beyond dispute that fact can be stranger, and more entertaining, than fiction. A few of the snapshots overextend themselves, particularly the ones concerning the Curtises and Ezra Pound; however, Venice in the end won me over, and I would recommend this book to anyone who has any appreciation of history or culture.",REVIEW,NOT APPLICABLE
Drinking coffee   Reading by the fire place  Snow,ACTIVITY,WINTER
Pumpkin patch visits  Apple orchard  Trick or treating,ACTIVITY,FALL
"have sex,drink beer, sleep",ACTIVITY,WINTER
reading  birding  traveling,ACTIVITY,WINTER
"Watching Movies, snowball fight, building snowman",ACTIVITY,WINTER
Going on a cruise to someplace warm. Moving to Florida. Staying in a warm house.,ACTIVITY,WINTER
"Footballs games, tennis, homecoming",ACTIVITY,FALL
"driving, listening to music, watching tv",ACTIVITY,SUMMER
"Swimming, Going on a picnic, Biking",ACTIVITY,SUMMER
"Walking, hanging with friends, going to Disney",ACTIVITY,SUMMER
Walking in Forest Park (located in St. Louis  Wearing fall clothes and booties  Snuggling,ACTIVITY,FALL
Skiing  Ice Fishing  Snow fort building,ACTIVITY,WINTER
Bikin,ACTIVITY,WINTER
"One of Michael's early Gems!: This isn't Michael's best album, but it is a great one! ""Pray For Me"" is another song -- like friends -- that is fitting for Graduations and other times when there is a major life change. The sound and lyricsim of ""I Miss the Way"" is very haunting and familliar to any Christian who has ever had to watch a friend that has deviated from His Path. Highly recommended! (But then I recommend literally ANYTHING that Michael has done. He is THAT good!)",REVIEW,NOT APPLICABLE
"DISAPPOINTING TEXT AND PHOTOS: I was very disappointed in this book. The author is just basically rehashing information from her previous book.This book is simply redundant. It does not do anything to help a photographer working with infrared acheive anything that he or she couldn't do by reading other and better infrared books out on the market today.The idea of visualizing a scene in infrared has been written about before, as has just about everything in this book. Save your money and look for other better books on the subject.",REVIEW,NOT APPLICABLE
"Snowboarding,cooking, camping",ACTIVITY,WINTER
"LEAKS AFTER 2 MONTHS!: I purchased my bottle 2 months ago and it is already leaking!! It was great a first, you could even store it upside down and it would not drip. Now if my bag gets slightly tilted it will end up soaked. Bummer! I never put it in the dishwasher or misused it in anyway, not sure why it is leaking.It was a great bottle in design - love the bite valve - although my jaw was sore the first day when I was getting used to it!Also FYI that the 1-Liter bottle will not fit in any cup holder which makes it a hassle - especially at the gym or in the car-the bottom of the bottle is very wide.",REVIEW,NOT APPLICABLE
"works great: takes some knowledge of dosbox, i'm on linux myself and this thing works beautifully, since it has so many games, it's a def must have if you love tetris, although it's important to know that they feel a bit diff than nintendo tetris....",REVIEW,NOT APPLICABLE
"The conservative mind: overrated and dull: Every true conservative knows the Conservative mind. It had a enormous impact in 1953 and is still very respected. In my opinion it's overrated. The book is dull; Kirks style is uninviting. He keeps repeating the same slogans over and over again: religion is the basis of all society, there must be order and the left is demolishing the world. I advise you just to read the introduction with its famous canon of conservative tought. That will do. Kirk is only interested in explaining his own philosophy and that's why every conservative seems the same in this book. Take for example Edmund Burke. No word about the liberal part of his political philosophy or the inconsistency between his common sense epistemology and his",REVIEW,NOT APPLICABLE
"Watching football,  drinking beer,  eating hot wings",ACTIVITY,FALL
"Less than you bargained for: The concept of FlipAlbum is great and when it works it's great. Which isn't often. I found it to be full of bugs - lots of things not working as they are supposed to and I had to do things over and over and over because the program reverted back to an earlier state. It was extremely frustrating. Tech support? - just terrible. If you actually get a response after a week or so it's something to the effect ""did you follow directions?"" and when you answer ""yes"" you never hear from them again. If they ever get it to work properly I might take another look at it, but I've found simpler programs that aren't quite as fancy but they work.",REVIEW,NOT APPLICABLE
"Sleigh riding, snow ball fights and building snowmen",ACTIVITY,WINTER
"Watching movies, reading, surveys",ACTIVITY,WINTER
"Pumkin patch,maze, outside",ACTIVITY,FALL
"skiing, playing in snow, making snow angels",ACTIVITY,WINTER
Pumpkin patch  Thanksgiving  Family time,ACTIVITY,FALL
"Going to the beach, going to a warf, going to the beach",ACTIVITY,SUMMER
"Very Disappointed: I'm not a big fan of country music, but I do like Shania. I have to admit I am very disappointed in this CD - both CD's are really bad. I don't know what she was thinking. Do yourself a favor and don't buy this CD or listen to it before you purchase it.",REVIEW,NOT APPLICABLE
Lousy formatting!: I cannot comment on the content of the stories because the Kindle formatting is so terrible that it is impossible to say for sure what many of the words are.This is an inexplicable and inexcusable oversight in what Amazon lists as my #1 Kindle recommendation in books for young children.,REVIEW,NOT APPLICABLE
"Apple picking, bonfires, pumpkin patches",ACTIVITY,FALL
Sleep  Sleep  Sleep,ACTIVITY,FALL
"Snowball fight,  building snowmen, and Snowboarding",ACTIVITY,WINTER
To volunteer and help out the folks in the local neighborhoods of Youngstown Ohio.,ACTIVITY,SUMMER
Travel  Walking  Festivals,ACTIVITY,FALL
"wAtching movies, campfires, reading under a warm blanket",ACTIVITY,FALL
"COOKING, GARDENING, STAYING OUT OF THE HEAT",ACTIVITY,SUMMER
For any true Morrison fan!: Allows the reader an even deeper perspective of what was really going on in the head of Mr. MOJO RISING. A MUST READ.,REVIEW,NOT APPLICABLE
Staying inside with family  Surfing the internet  Watching the snow out the window,ACTIVITY,WINTER
"my favorite music to teach ballet class: I love all the cd's in this series. They are inspiring and the tempos are perfect for any class. There are always different cd's out there if you need a change of pace after awhile,but you will always come back to these. I also find his videos to be very helpful . His exercises in the Russian method are a great learning and teaching tool.",REVIEW,NOT APPLICABLE
Soccer,ACTIVITY,FALL
"Suspicious: I find it very suspicious that this book is so similar to Alfred Weinstein's ""Barbed Wire Surgeon"".",REVIEW,NOT APPLICABLE
"Better than ""Spice""!: I got this for Christmas two years ago and I liked it from the start! ""Spice Up Your Life"" is a great song to put at the beginning of the CD. And it just got better from there.As for ""Denying"" and ""Viva Forever"", I have to admit I don't listen to them that much unless I'm in the mood to listen to those songs. But I still like them though.And as I said in my summary, I think it's better than their debut CD. In fact, I can't wait to get their new CD(if it comes out soon)!And no, I am NOT a teenybopper!",REVIEW,NOT APPLICABLE
"(1.5) History Lite: Perhaps this ""one afternoon book"" contains all there really is to know of Marie Antoinette's short reign at the side of Louis XVI of France before the French Revolution occasioned the loss of her head. Indeed, the book cover suggests some revelations about Mirabeau, DuBarry, and Robespierre. Unfortunately, they are only mentioned in passing among the rambling, if poetic, musings of Marie Antoniette. As simple as a diary, truth is a matter of perception, so the truth can't be faulted with historical inaccuracy. It can, however, be faulted for lack of substance. Like cotton candy, this book is all fluff, the Editorial reviews more substantive than the novel. Not that Versailles isn't a pleasant read. It is. It just doesn't deserve the cre",REVIEW,NOT APPLICABLE
Building snowman   Sitting by the fire place   Drinking hot cocoa,ACTIVITY,WINTER
"Deceptive advertising on an overpriced item: WARNING: There is only one head, even though two are pictured! And the package I got was made for two heads. So, yes, the head was loose in the packaging and potentially unsanitary. The wording of this ad is deceptive: Crest SpinBrush Pro-Clean Net 2 Replacement Brush Heads - 1 Ea. The ""Net 2"" makes it sound like you get two heads. It's only the 1 Ea at the end of a long title that gives it a vague indication that it's only one head.",REVIEW,NOT APPLICABLE
"Better than we expected!: I first bought this just to take on a trip since it wouldn't take up as much space as our little girl's plastic tub. We loved using it so much that we haven't used anything else since! It is very comfortable on her little back, and I don't have to worry about her sliding off to the side like in her old tub. It comes with a nice little hanger which makes it easy to hang up and dry.The only reason I give it 4 stars is that she keeps sliding down on it and we have to scoot her back up. The size also does not fit in sinks well, so we end up leaning over the tub which can be a pain.",REVIEW,NOT APPLICABLE
"In The Shadow: I would say this is my favorite black metal CD of all time. Basically because everything you could think of as 'what BM should be', is in here. It's the best, and i'm personally partial to 'in the shadow of the horns', hence the title of the review, and the first track, and let's see, the 4th, 3rd,5th, oh and the 6th, and if there were 7 that one would be up there too.I hate saying 'your not a true BM fan if you dont have this' so i'll just say your not a true one if you dont either want or respect this CD-lets leave it at that.",REVIEW,NOT APPLICABLE
I would like to travel to Europe,ACTIVITY,WINTER
"USED CD: Stiil sounds excellent for being a used item. The CD case was broken when I received it. The main artist here plays the guitar professionally like Steve Vai, Joe Satriani and other well-known musicians.",REVIEW,NOT APPLICABLE
Shopping   Cooking   Writing,ACTIVITY,FALL
Celebrating the holidays that fall this time of the year.  Decorating the house for the holidays.  Enjoy watching the snow when we have some.,ACTIVITY,WINTER
Streaming making overlays and crafting,ACTIVITY,FALL
Nothing against Mandy Moore but...: Do humanity a favor and listen to the orginal versions of these songs.,REVIEW,NOT APPLICABLE
"Football, cool weather, Christmas",ACTIVITY,FALL
Reading writing exercising,ACTIVITY,FALL
smilly face !: bought this tea locally and loved it but expensive to make for iced tea since I drink 3 to 4 glasses a day.then to my happy surprise found it at amazon for reasonable price and auto ship.thank you amazon.,REVIEW,NOT APPLICABLE
Sleeping  Skiing  Watching the snow,ACTIVITY,WINTER
"walking, reading inside and drinking hot chocolate",ACTIVITY,WINTER
